USER_TOKEN,FIRST_SEND_APPLICATION,BUSINESS_CATEGORY,POSTAL_CODE,COUNTRY_CODE,FIRST_INVOICE_MONTH,COUNT_INVOICES_FIRST7D,COUNT_SENT_INVOICES_FIRST7D,COUNT_PAID_INVOICES_FIRST7D,TOTAL_INVOICE_AMOUNT_CENTS_FIRST7D,COUNT_PAYERS_FIRST7D,HAS_USED_AUTOMATIC_REMINDERS_FIRST7D,AVERAGE_INVOICE_AMOUNT_CENTS_FIRST7D,PCT_INVOICES_PAID_FIRST7D,COUNT_DELIVERY_METHODS_FIRST7D,HAS_ACCEPTED_CREDIT_OR_DEBIT_CARD_FIRST7D,CHURNED_IND
0EXR4701P1E6X,register,retail,21212,US,2018-01-01,1,1,1,14400,1,0,14400,1,1,1,1
S5QV1PB8SYQ72,register,home_and_repair,44077-4621,US,2018-08-01,2,2,1,160200,2,0,80100,0.5,2,1,1
9ZTQV2QBRHPGJ,dashboard,food_and_drink,19146,US,2018-04-01,3,3,2,483000,2,0,161000,0.666666,1,1,1
0Z20BGZZTD238,dashboard,charities_education_and_membership,21202,US,2016-11-01,41,41,32,325417120,41,0,7937002.927,0.780487,1,1,0
2H0WCPHJ2A0MK,dashboard,health_care_and_fitness,97321-2006,US,2017-03-01,19,18,18,28490035,18,0,1499475.526,1,2,1,1
K4WGE4YJ7T3TG,dashboard,retail,15539,US,2019-05-01,2,2,2,1844400,2,0,922200,1,1,1,1
A10882CEC9GJ3,dashboard,health_care_and_fitness,60505-4555,US,2016-11-01,73,72,5,56996900,71,0,780779.4521,0.069444,1,1,1
0H0DFCNVA10H4,register,casual_use,97062,US,2017-03-01,1,1,1,12000,1,0,12000,1,1,1,1
RZC68J32C4AW4,dashboard,charities_education_and_membership,20020-4401,US,2018-11-01,2,2,0,90000,2,0,45000,0,1,1,1
ZHBP2BZGA7M00,register,beauty_and_personal_care,75126,US,2019-02-01,1,1,0,2000,1,1,2000,0,1,1,1
DH63X3WP9K9AM,dashboard,casual_use,98105,US,2016-05-01,17,17,14,1060000,16,0,62352.94118,0.823529,1,1,1
6J4A20G0WVFZB,register,home_and_repair,60643,US,2017-11-01,1,1,1,32000,1,0,32000,1,1,1,1
9SX3DGHQQ9AAX,register,health_care_and_fitness,80118-6539,US,2016-12-01,11,11,10,6882948,10,0,625722.5455,0.90909,1,1,0
8MVK491GF8427,register,health_care_and_fitness,87107-1504,US,2018-05-01,1,1,1,18000,1,0,18000,1,1,1,1
26GG4711WXSEF,dashboard,retail,85209,US,2015-09-01,4,4,3,1187100,4,0,296775,0.75,1,1,1
BFWTC64X29KME,dashboard,professional_services,80205-3135,US,2017-03-01,3,3,3,3848000,3,0,1282666.667,1,1,1,0
6Q30YTM1TJ50E,register,retail,28546,US,2017-09-01,1,1,1,4267200,1,0,4267200,1,1,1,1
DGW2MJJTGCDRF,dashboard,health_care_and_fitness,29906-5785,US,2017-02-01,4,4,4,111300,2,0,27825,1,1,1,1
CXP85YV9MCM39,register,health_care_and_fitness,63366-7533,US,2016-08-01,11,11,10,40204080,1,0,3654916.364,0.90909,1,1,0
1RE4D7GPX0QEW,register,charities_education_and_membership,21228,US,2016-07-01,4,4,2,1884000,0,0,471000,0.5,1,1,1
HMM709S9FJXPN,register,beauty_and_personal_care,2603,AU,2018-03-01,1,1,0,200000,1,0,200000,0,1,1,1
1FNPQ226MRM67,register,professional_services,76053-8046,US,2017-04-01,6,6,6,325800000,4,0,54300000,1,1,1,0
FA2R7BJ8V4FWV,dashboard,health_care_and_fitness,16131-3311,US,2017-03-01,18,18,14,46606236,16,0,2589235.333,0.777777,1,1,0
FT741V5AMCSRG,register,professional_services,7704,US,2017-11-01,3,3,2,35977900,1,0,11992633.33,0.666666,1,1,0
4A758YKWMDEVW,register,leisure_and_entertainment,17601,US,2019-07-01,1,1,0,3500,1,1,3500,0,1,1,1
01P9S7K4A9WQ7,register,health_care_and_fitness,63841,US,2019-01-01,1,1,1,100000,1,0,100000,1,1,1,1
1V1VR052HAPQA,register,health_care_and_fitness,99654-9805,US,2017-04-01,6,6,4,254700,6,0,42450,0.666666,1,1,1
DP4DYABND5MFX,dashboard,retail,55401,US,2015-04-01,8,8,2,28707888,0,0,3588486,0.25,1,1,0
13ZZEZTXMQZ8T,dashboard,charities_education_and_membership,27613,US,2015-09-01,27,27,24,60750000,27,0,2250000,0.888888,1,1,1
2DFPQMFYE136B,register,beauty_and_personal_care,34946,US,2016-03-01,3,3,1,120000,0,0,40000,0.333333,1,1,1
320B7V7W33D5Q,dashboard,food_and_drink,23204,US,2018-07-01,2,2,1,13658400,2,0,6829200,0.5,1,1,0
A945811JM52CH,register,retail,68331,US,2018-03-01,2,2,2,5631420,2,0,2815710,1,1,1,0
4067490TD6Q02,register,health_care_and_fitness,96734-4005,US,2017-01-01,3,3,2,250472,3,0,83490.66667,0.666666,1,1,1
8999T5FW53MVW,dashboard,professional_services,36504,US,2017-03-01,1,1,0,32500,1,0,32500,0,1,1,1
